TWT3,RHOB3,PWAVE3
-1027.14,2.171200037,95.74629974
-1027.64,2.247800112,88.92150116
-1028.12,2.309299946,83.4477005
-1028.6,2.220999956,91.30889893
-1029.05,2.221999884,91.21790314
-1029.49,2.153300047,97.33300018
-1030.01,1.991799951,111.7156982
-1030.48,2.111099958,101.0908966
-1030.9,2.063299894,105.3452988
-1031.47,2.063699961,105.3130035
-1032.42,2.084800005,103.436203
-1033.32,2.11590004,100.6641007
-1034.17,2.137599945,98.72940064
-1034.99,2.094500065,102.5725021
-1035.86,2.071099997,104.649498
-1036.73,2.109299898,101.254303
-1037.64,2.125799894,99.78029633
-1038.65,2.14989996,97.63480377
-1039.58,2.159199953,96.81030273
-1040.54,2.157599926,96.95050049
-1041.51,2.121000052,100.2116013
-1042.46,2.142100096,98.33029938
-1043.39,2.09710002,102.3376999
-1044.31,2.033799887,107.972702
-1045.25,2.056299925,105.9681015
-1046.21,2.130700111,99.34539795
-1047.15,2.077500105,104.0804977
-1048.07,2.20630002,92.61820221
-1048.98,2.15960002,96.77929688
-1049.89,2.161099911,96.64189911
-1050.8,2.129699945,99.43640137
-1051.51,2.041399956,107.2991028
-1051.99,2.069200039,104.8215027
-1052.49,2.166500092,96.16220093
-1053.03,2.200200081,93.15969849
-1053.56,2.17840004,95.10359955
-1054.04,2.114799976,100.7614975
-1054.55,2.111900091,101.0240021
-1054.99,2.152499914,97.40850067
-1055.46,2.190500021,94.02310181
-1055.92,2.3204,82.46430206
-1056.4,2.317399979,82.73229981
-1056.94,2.229599953,90.54519653
-1057.46,2.300899983,84.19909668
-1057.92,2.186199904,94.40570068
-1058.36,2.219599962,91.4315033
-1058.82,2.208800077,92.39350128
-1059.31,2.165600061,96.24549866
-1059.8,2.050199986,106.5130997
-1060.27,2.178600073,95.08599854
-1060.72,2.22480011,90.96980286
-1061.09,2.330699921,81.54679871
-1061.74,2.389100075,76.34449768
-1062.73,2.30250001,84.0562973
-1063.69,2.401400089,75.2492981
-1064.71,2.355900049,79.29869843
-1065.71,2.391599894,76.12069702
-1066.71,2.351700068,79.6772995
-1067.75,2.40350008,75.06210327
-1068.85,2.425499916,73.10600281
-1069.87,2.359200001,79.00700378
-1070.87,2.480099917,68.24539948
-1071.8,2.471899986,68.97460175
-1072.71,2.424400091,73.20210266
-1073.66,2.456199884,70.37139893
-1074.55,2.400700092,75.31140137
-1075.47,2.401000023,75.28230286
-1076.37,2.264300108,87.45639801
-1077.3,2.010499954,110.0502014
-1078.19,2.044800043,106.9909973
-1079.07,2.078900099,103.9605026
-1079.99,2.094099999,102.6041031
-1080.84,2.292399883,84.95339966
-1081.43,2.503000021,66.20709992
-1081.76,2.319000006,82.58380127
-1082.07,2.161299944,96.62180328
-1082.42,2.206599951,92.59079742
-1082.76,2.41140008,74.36489868
-1083.19,2.261100054,87.73989868
-1083.76,2.209700108,92.31620026
-1084.32,2.119100094,100.3843994
-1084.85,2.055999994,105.9996033
-1085.37,2.074300051,104.3711014
-1085.78,2.19630003,93.51100159
-1086.07,2.408600092,74.60990143
-1086.46,2.110800028,101.1175995
-1086.95,1.959300041,114.6057968
-1087.41,2.048300028,106.6812973
-1087.75,2.142699957,98.28359985
-1088.17,1.99150002,111.7385025
-1088.63,2.159199953,96.81269836
-1089.14,2.151299954,97.51380158
-1089.69,2.25819993,88.00170136
-1090.22,2.358400106,79.08119965
-1090.69,2.230499983,90.46340179
-1091.03,2.271600008,86.80220032
-1091.71,2.235899925,89.98300171
-1092.65,2.256700039,88.13009644
-1093.54,2.236000061,89.97019959
-1094.38,2.155400038,97.14820099
-1095.3,2.167599917,96.05960083
-1096.13,2.134500027,99.01360321
-1096.96,2.004699945,110.5625
-1097.72,2.003400087,110.6763001
-1098.43,2.145400047,98.04329681
-1099.22,2.098700047,102.1967011
-1099.98,2.070899963,104.6690979
-1100.76,2.125999928,99.77059937
-1101.53,2.163100004,96.46089935
-1102.31,2.201100111,93.07900238
-1103.14,2.274399996,86.55319977
-1103.94,2.295399904,84.68659973
-1104.77,2.338000059,80.89790344
-1105.63,2.055500031,106.043602
-1106.42,2.148600102,97.75469971
-1107.13,2.184700012,94.54149628
-1107.86,1.982800007,112.512001
-1108.61,2.110300064,101.1654968
-1109.33,2.140700102,98.46060181
-1110.03,2.217200041,91.64929962
-1110.52,2.246599913,89.03250122
-1110.76,2.306400061,83.70829773
-1110.99,2.398499966,75.50849915
-1111.2,2.363399983,78.63279724
