TWT,DEPTH1,CALI2,RHOB2,GR2,INDUCTION2,NPHI2,PWAVE2,,TWT3,RHOB3,PWAVE3
-109.02,110,,,,,,0,,-982.19,2.133300066,99.12010193
-110.11,111,,,,,,0,,-983.23,2.121700048,100.1507034
-111.21,112,,,,,,0,,-984.22,2.151499987,97.49780273
-112.31,113,,,,,,0,,-985.21,2.154700041,97.21089935
-113.4,114,,,,,,0,,-986.12,2.069099903,104.8358994
-114.5,115,,,,,,0,,-987,2.075900078,104.228302
-115.6,116,,,,,,0,,-987.9,2.133899927,99.06169891
-116.69,117,,,,,,0,,-988.84,2.210400105,92.25450134
-117.79,118,,,,,,0,,-989.8,2.131799936,99.25379944
-118.88,119,,,,,,0,,-990.73,2.125999928,99.76629639
-119.98,120,,,,,,0,,-991.65,2.22239995,91.18840027
-121.08,121,,,,,,0,,-992.63,2.17140007,95.72779846
-122.17,122,,,,,,0,,-993.61,2.122699976,100.0598984
-123.27,123,,,,,,0,,-994.57,2.071099997,104.6533966
-124.37,124,,,,,,0,,-995.53,1.975200057,113.1909027
-125.46,125,,,,,,0,,-996.54,2.075799942,104.2332001
-126.56,126,,,,,,0,,-997.55,2.103600025,101.7578964
-127.66,127,,,,,,0,,-998.52,2.154099941,97.26200104
-128.75,128,,,,,,0,,-999.45,2.102299929,101.8796997
-129.85,129,,,,,,0,,-1000.42,2.097800016,102.2741013
-130.95,130,,,,,,0,,-1001.4,2.104599953,101.6729965
-132.04,131,,,,,,0,,-1002.32,2.157299995,96.97840118
-133.14,132,,,,,,0,,-1003.27,2.196899891,93.4559021
-134.23,133,,,,,,0,,-1004.25,2.177400112,95.1867981
-135.33,134,,,,,,0,,-1005.26,2.099299908,102.1455994
-136.43,135,,,,,,0,,-1006.33,2.024699926,108.7846985
-137.52,136,,,,,,0,,-1007.33,2.153899908,97.28700256
-138.62,137,,,,,,0,,-1008.32,2.208400011,92.42790222
-139.72,138,,,,,,0,,-1009.29,2.129800081,99.43180084
-140.81,139,,,,,,0,,-1010.28,2.067899942,104.9376984
-141.91,140,,,,,,0,,-1011.25,2.126499891,99.72239685
-143.01,141,,,,,,0,,-1011.79,2.159300089,96.79949951
-144.1,142,,,,,,0,,-1012.26,2.137799978,98.71459961
-145.2,143,,,,,,0,,-1012.71,2.138299942,98.6740036
-146.29,144,,,,,,0,,-1013.18,2.113199949,100.9084015
-147.39,145,,,,,,0,,-1013.69,2.047899962,106.7204971
-148.49,146,,,,,,0,,-1014.24,2.150899887,97.55130005
-149.58,147,,,,,,0,,-1014.72,2.179699898,94.98570252
-150.68,148,,,,,,0,,-1015.16,2.153100014,97.35040283
-151.78,149,,,,,,0,,-1015.65,2.131099939,99.30909729
